DESTINATION_STATE,YEAR,ISTAT_DELETED,DEST_REGISTERED
AT,2017,2005,3303
AT,2018,2305,3237
AT,2019,2251,3400
AT,2020,2144,3349
AT,2021,1728,3096
DE,2017,18524,29854
DE,2018,18054,28625
DE,2019,18837,25936
DE,2020,16658,21206
DE,2021,13686,19432
DK,2017,558,1463
DK,2018,674,1461
DK,2019,551,1693
DK,2020,585,1707
DK,2021,572,2530
ES,2017,7165,28793
ES,2018,7227,31280
ES,2019,6100,33362
ES,2020,5991,21330
ES,2021,6027,42101
FI,2017,171,266
FI,2018,221,282
FI,2019,184,265
FI,2020,222,344
FI,2021,230,427
FR,2017,12422,13578
FR,2018,13537,14381
FR,2019,12839,14631
FR,2020,13045,11740
FR,2021,11229,11004
NO,2017,340,655
NO,2018,425,669
NO,2019,408,665
NO,2020,384,603
NO,2021,331,859
SE,2017,787,1309
SE,2018,681,1410
SE,2019,633,1267
SE,2020,643,1131
SE,2021,470,1314
